row,col,std,custom,similarity,match
7,30,,,1.0,True
7,31,,,1.0,True
7,32,,,1.0,True
7,33,,,1.0,True
7,34,,,1.0,True
7,35,,,1.0,True
7,36,,,1.0,True
7,37,,,1.0,True
7,38,,,1.0,True
7,39,,,1.0,True
7,40,,,1.0,True
7,41,,,1.0,True
7,42,,,1.0,True
7,43,,,1.0,True
7,44,,,1.0,True
7,45,,,1.0,True
7,46,,,1.0,True
7,47,,,1.0,True
7,48,,,1.0,True
7,49,,,1.0,True
7,50,,,1.0,True
7,51,,,1.0,True
7,52,,,1.0,True
7,53,,,1.0,True
7,54,,,1.0,True
7,55,,,1.0,True
7,56,,,1.0,True
7,57,,,1.0,True
7,58,,,1.0,True
7,59,,,1.0,True
7,60,,,1.0,True
7,61,,,1.0,True
8,0,,ouibuN,0.0,False
8,1,,,1.0,True
8,2,,,1.0,True
8,3,,,1.0,True
8,4,,,1.0,True
8,5,,,1.0,True
8,6,,,1.0,True
8,7,,,1.0,True
8,8,,,1.0,True
8,9,,,1.0,True
8,10,,,1.0,True
8,11,,,1.0,True
8,12,,,1.0,True
8,13,,,1.0,True
8,14,,,1.0,True
8,15,,,1.0,True
8,16,,,1.0,True
8,17,,,1.0,True
8,18,,,1.0,True
8,19,,,1.0,True
8,20,,,1.0,True
8,21,,,1.0,True
8,22,,,1.0,True
8,23,,,1.0,True
8,24,,,1.0,True
8,25,,,1.0,True
8,26,,,1.0,True
8,27,,,1.0,True
8,28,,,1.0,True
8,29,,,1.0,True
8,30,,,1.0,True
8,31,,,1.0,True
8,32,,,1.0,True
8,33,,,1.0,True
8,34,,,1.0,True
8,35,,,1.0,True
8,36,,,1.0,True
8,37,,,1.0,True
8,38,,,1.0,True
8,39,,,1.0,True
8,40,,,1.0,True
8,41,,,1.0,True
8,42,,,1.0,True
8,43,,,1.0,True
8,44,,,1.0,True
8,45,,,1.0,True
8,46,,,1.0,True
8,47,,,1.0,True
8,48,,,1.0,True
8,49,,,1.0,True
8,50,,,1.0,True
8,51,,,1.0,True
8,52,,,1.0,True
8,53,,,1.0,True
8,54,,,1.0,True
8,55,,,1.0,True
8,56,,,1.0,True
8,57,,,1.0,True
8,58,,,1.0,True
8,59,,,1.0,True
8,60,,,1.0,True
8,61,,,1.0,True
9,0,Nodulo,Nódulo,0.833,False
9,1,,,1.0,True
9,2,,,1.0,True
9,3,,,1.0,True
9,4,,,1.0,True
9,5,,,1.0,True
9,6,,,1.0,True
9,7,,,1.0,True
9,8,,,1.0,True
9,9,,,1.0,True
9,10,,,1.0,True
9,11,,,1.0,True
9,12,,,1.0,True
9,13,,,1.0,True
9,14,,,1.0,True
9,15,,,1.0,True
9,16,,,1.0,True
9,17,,,1.0,True
9,18,,,1.0,True
9,19,,,1.0,True
9,20,,,1.0,True
9,21,,,1.0,True
9,22,,,1.0,True
9,23,,,1.0,True
9,24,,,1.0,True
9,25,,,1.0,True
9,26,,,1.0,True
9,27,,,1.0,True
9,28,,,1.0,True
9,29,,,1.0,True
9,30,,,1.0,True
9,31,,,1.0,True
9,32,,,1.0,True
9,33,,,1.0,True
9,34,,,1.0,True
9,35,,,1.0,True
9,36,,,1.0,True
9,37,,,1.0,True
9,38,,,1.0,True
9,39,,,1.0,True
9,40,,,1.0,True
9,41,,,1.0,True
9,42,,,1.0,True
9,43,,,1.0,True
